,Product Name,Avg. Rating,# Ratings,Price,Processor Type,Disk Size,RAM,Processor Speed
4483,"Dell OptiPlex 7050 Tower Desktop Computer, Intel Core i7-7700, 8GB DDR4, 1TB Hard Drive, Windows 10 Pro (TMXP3)",5.0 out of 5 stars,3,,Core i7,1000 GB,8 GB,3.6 GHz
4484,"Dell OptiPlex Small Form Desktop Computer, Intel Core i5 6500, 3.2GHz Processor, 16GB Ram, 2TB Solid State Drive,WiFi | Bluetooth, NVIDIA GT 1030 2GB DDR5, Windows 10 (Renewed)",3.0 out of 5 stars,1,$619..99,Core i5,2 TB,16 GB,3.20 GHz
4485,"HP Desktop PC, Intel Pentium Gold G6400 Processor, 8 GB of RAM, 256 GB SSD Storage, Windows 10 Home, High-Speed Performance Computer, 8 USB Ports, Business, Study, Videos, & Gaming (M01-F1014, 2020)",4.3 out of 5 stars,271,$618..98,Pentium,0.01 GB,8 GB,4 GHz
4486,"(Renewed) HP EliteDesk 800 G1 SFF Desktop, Intel i7, 16GB, 500GB SSD, Dual (2) E243 24-inch HP FHD Monitors, WiFi, Windows 10 Pro",3.7 out of 5 stars,73,$619..99,core_m,500 GB,16 GB,3.40 GHz
4487,"Dell Precision 3420 SFF Desktop, Intel Core i7, 16GB RAM, 512GB SSD, Win10 Pro. Refurbished",5.0 out of 5 stars,4,$613..04,Core i7,0 GB,16.00 GB,3.4 GHz
4488,"Dell Inspiron i3650-3756SLV Desktop (Intel Core i5, 12 GB RAM, 1 TB HDD, Silver) No Monitor Included",4.0 out of 5 stars,84,$612..00,Core i5,1 TB,12 GB,2.7 GHz
4489,"Lenovo Gaming PC ThinkCentre M93p Desktop Computer SFF - Intel Core I7-4770 3.4Ghz - 16GB RAM - 1TB SSD, New NVIDIA GT 1030 2GB DDR5, DVD-ROM, Keyboard, Mouse, WiFi, Windows 10 Pro (Renewed)",4.2 out of 5 stars,54,$611..98,Core i7,1 TB,16.0 GB,3.4 GHz
4490,"Acer Aspire TC-895-UA91 Desktop, 10th Gen Intel Core i3-10100 4-Core Processor, 8GB 2666MHz DDR4, 512GB NVMe M.2 SSD, 8X DVD, 802.11ax Wi-Fi 6, USB 3.2 Type C, Windows 10 Home",4.5 out of 5 stars,"1,150",$609..99,Core i3,512 GB,8 GB,4.3 GHz
4491,"HP 600 G2 SFF Computer Desktop PC, Intel Core i5-6500 3.2GHz Processor, 32GB Ram, 2TB SSD,Wireless Keyboard & Mouse, WiFi | Bluetooth, HP 23.8 LCD Monitor, Windows 10 Pro (Renewed)",NO RATING,NO NUM RATING,$609..99,Core i5,2 TB,32 GB,3.20 GHz
4492,Dell OptiPlex 7070 Desktop Computer - Intel Core i5-9500 - 16GB RAM - 256GB SSD - Small Form Factor,5.0 out of 5 stars,1,,Core i5,256 GB,16 GB,3 GHz
4493,"HP Z240 Tower Workstation Gaming Computer Desktop, Intel i7-6700 up to 4.0GHz, 16GB DDR4 RAM, 1TB SSD Drive, USB 3.0, NVIDIA GeForce GT 1030 2GB, HDMI, Display Port, WiFi + BT 4.0 Windows 10 (Renewed)",3.6 out of 5 stars,3,$599..99,Core i7,1 TB,16 GB,3.40 GHz
4494,"Dell Optiplex 9020 Desktop Bundle with Intel Core i5-4570, 16GB DDR3, 500GB SSD, Keyboard and Mouse, 2 24in Monitors, WiFi, Windows 10 Pro (Renewed)",4.4 out of 5 stars,8,$599..99,core_m,500 GB,16 GB,3.20 GHz
4495,"iBUYPOWER Pro Gaming PC Computer Desktop Trace 4 （AMD Ryzen 5 3600 3.6GHz, GeForce GT 730 2GB, 8GB DDR4 RAM, 240GB SSD, WiFi Ready, Windows 10 Home w/Tstar Mousepad",5.0 out of 5 stars,1,,Ryzen 5 3600,240 GB,8 GB,3.60 GHz
