,Product Name,Avg. Rating,# Ratings,Price,Processor Type,Disk Size,RAM,Processor Speed,Brand,Bluetooth,Liq. Cooled,RAM: Type,RAM : GB,Processor Speed: GHz,Disk Size: GB
2376,"Dell Optiplex 7060 SFF Desktop - 8th Gen Intel Core i7-8700 6-Core Processor up to 4.60 GHz, 64GB DDR4 Memory, 3TB 7200 RPM SATA Hard Drive, Intel UHD Graphics 630, DVD Burner, Windows 10 Pro",0.0/0,0,1959.99,Intel Core i7,3000 GB,64 GB,3.20 GHz,Dell,0,0,GB,64.0,3.2,3000.0 GB
2377,"CLX Set Gaming Desktop - AMD Ryzen 9 5900X 3.7GHz 12-Core Processor, 16GB DDR4 Memory, GeForce RTX 3060 12GB GDDR6 Graphics, 500GB SSD, 3TB HDD, WiFi, Windows 11 Home 64-bit,White",0.0/0,0,1959.49,Ryzen 9,3 TB,16.0 GB,3.7 GHz,CLX,0,0,GB,16.0,3.7,3000.0 GB
2378,"CLX Set Gaming Desktop - Liquid Cooled Intel Core i7 10700KF 3.8GHz 8-Core Processor, 32GB DDR4 Memory, GeForce RTX 3060 12GB GDDR6 Graphics, 500GB SSD, 4TB HDD, WiFi, Windows 11 Home 64-bit,Black",0.0/0,0,1959.49,Intel Core i7,4 TB,32.0 GB,3.8 GHz,CLX,0,1,GB,32.0,3.8,4000.0 GB
2379,"Dell XPS 8940 Desktop Computer - 11th Gen Intel Core i7-11700 up to 4.9 GHz CPU, 32GB RAM, 8TB SSD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD Burner, Windows 11 Home, Black",0.0/0,0,1959.0,Intel Core i7,8000 GB,32 GB,2.50 GHz,Dell,0,0,GB,32.0,2.5,8000.0 GB
2380,"HP Pavilion TP01 Tower Desktop Computer - 10th Gen Intel Core i7-10700F up to 4.70 GHz CPU, 64GB RAM, 4TB Solid State Drive, AMD Radeon RX 550 Graphics, DVD-Writer, Windows 10 Home",0.0/0,0,1959.0,Intel Core i7,4000 GB,64 GB,2.90 GHz,HP,0,0,GB,64.0,2.9,4000.0 GB
2381,"Dell XPS 8940 Desktop Computer - 11th Gen Intel Core i7-11700 up to 4.9 GHz CPU, 16GB RAM, 8TB SSD + 3TB HDD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD Burner, Windows 11 Home, Black",0.0/0,0,1959.0,Intel Core i7,11000 GB,16 GB,2.50 GHz,Dell,0,0,GB,16.0,2.5,11000.0 GB
2382,"Dell XPS 8940 Desktop Computer - 11th Gen Intel Core i7-11700 up to 4.9 GHz CPU, 64GB RAM, 4TB SSD + 6TB HDD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD Burner, Windows 11 Home, Black",0.0/0,0,1959.0,Intel Core i7,10000 GB,64 GB,2.50 GHz,Dell,0,0,GB,64.0,2.5,10000.0 GB
2383,"Dell XPS 8940 Desktop Computer - 11th Gen Intel Core i7-11700 up to 4.9GHz CPU, 16GB RAM, 8TB SSD + 3TB HDD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD-RW, Windows 10 Home",0.0/0,0,1959.0,Intel Core i7,11000 GB,16 GB,2.50 GHz,Dell,0,0,GB,16.0,2.5,11000.0 GB
2384,"Alienware Aurora R10 Gaming Desktop, AMD Ryzen 5 5600X, Nvidia Geforce GTX 1660S 6GB, 512GB NVMe SSD + 1TB HDD, 64GB RAM, DisplayPort, HDMI, AC Wi-Fi, RGB FX Lighting - Windows 10 Pro",5.0/5,1,1957.93,Ryzen 5,512 GB,64 GB,4.60 GHz,Alienware,0,0,GB,64.0,4.6,512.0 GB
2385,"HP OMEN 30L GT13 5th Gen Gaming & Business Desktop PC (AMD Ryzen 5 5600G 6-Core, 16GB RAM, 1TB PCIe SSD + 2TB HDD (3.5), RTX 3060, WiFi, HDMI, Display Port, Win 11 Pro) with Hub",4.9/5,15,1950.0,AMD R Series,1 TB,16 GB,3.90 GHz,OMEN,0,0,GB,16.0,3.9,1000.0 GB
2387,"CUK Continuum Micro Gamer PC (Intel Core i7-10700F, 32GB RAM, 512GB NVMe SSD + 2TB HDD, NVIDIA GeForce RTX 3070 8GB, 750W PSU, AC WiFi, Windows 11 Home) Gaming Desktop Computer",4.3/5,14,1949.99,Intel Core i7,2512 GB,32 GB,2.90 GHz,CUK,0,0,GB,32.0,2.9,2512.0 GB
2389,"Empowered PC Sentinel Gamer PC (AMD Ryzen 7 5700G, 32GB RAM, 512GB NVMe SSD + 2TB HDD, AMD Radeon RX 6700 XT 12GB, 600W PSU, AC WiFi, Windows 11 Home) Tower Gaming Desktop Computer",4.3/5,2,1949.99,AMD R Series,2512 GB,32 GB,3.80 GHz,Empowered,0,0,GB,32.0,3.8,2512.0 GB
2393,"Gaming Desktop Predator Orion 3000 for_Acer,10th Gen Intel Core i7-10700 8-Core CPU, RTX 2060 Super, Intel WiFi 6,Windows 10 Home (16GB DDR4 I 512GB SSD I 1TB HDD)",5.0/5,2,1949.99,Ryzen 5,1 TB,512 GB,2.80 GHz,Acer,0,0,GB,512.0,2.8,1000.0 GB
2394,"Dell Optiplex 7060 SFF Desktop - 8th Gen Intel Core i7-8700 6-Core Processor up to 4.60 GHz, 64GB DDR4 Memory, 128GB SSD + 2TB SATA Hard Drive, Intel UHD Graphics 630, DVD Burner, Windows 10 Pro",0.0/0,0,1949.99,Intel Core i7,2128 GB,64 GB,3.20 GHz,Dell,0,0,GB,64.0,3.2,2128.0 GB
2395,"Dell Optiplex 7060 SFF Desktop - 8th Gen Intel Core i5-8500 6-Core Processor up to 4.10 GHz, 64GB DDR4 Memory, 1TB Solid State Drive, Intel UHD Graphics 630, DVD Burner, Windows 10 Pro",0.0/0,0,1949.99,Intel Core i5,1000 GB,64 GB,3.00 GHz,Dell,0,0,GB,64.0,3.0,1000.0 GB
