,Product Name,Avg. Rating,# Ratings,Price,Processor Type,Disk Size,RAM,Processor Speed,Brand,Bluetooth,Liq. Cooled,RAM: Type,RAM : GB,Processor Speed: GHz,Disk Size: GB
58,"Velztorm Galax CTO SFF Desktop PC Liquid-Cooled (AMD Ryzen 7-5800X 8-Core, RTX 3080 Ti 12GB, 128GB DDR4, 2TB PCIe SSD + 6TB HDD (3.5), WiFi-N, RGB Fans, 750W PSU, Black, Win 10 Pro)",0.0,0,6548.0,Ryzen 7,2 TB,128 GB,3.80 GHz,Velztorm,0,1,GB,128.0,3.8,2000.0
59,"Velztorm Aciex 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, RTX 3090 24GB, 32GB DDR5 4800MHz RAM, 1TB PCIe SSD + 6TB HDD, 360 mm AIO, 1000W PSU, WiFi 6, BT 5.2, Win10P)",0.0,0,6528.0,Intel Core i9,1 TB,32 GB,3.20 GHz,Velztorm,1,0,GB,32.0,3.2,1000.0
60,"Velztorm Aciex 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, RTX 3080 10GB, 64GB DDR5 4800MHz RAM, 4TB PCIe SSD, 360 mm AIO, 1000W PSU, WiFi6, BT 5.2, Win11H)",0.0,0,6528.0,Intel Core i9,4 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,4000.0
61,Adamant Custom 16-Core Modelling Rendering Workstation Desktop Computer AMD Ryzen 9 5950X 3.4GHz X570 Rog Strix 128Gb DDR4 2TB NVMe PCIe 4.0 SSD 10TB HDD 1000W Toughpower PSU Geforce RTX 3090,0.0,0,6499.99,AMD R Series,10 TB,128 GB,3.40 GHz,Adamant,0,0,GB,128.0,3.4,10000.0
62,2020 Dell Alienware Aurora R11 Desktop - Intel Core i9 10th Gen - i9-10900KF - 10 Core 5.3Ghz - 2TB SSD + 2TB - 64GB RAM - Nvidia GeForce RTX 3090 - Windows 10 Home (Renewed),0.0,0,6499.0,Intel Core i9,2000 GB,64.00 GB,3.70 GHz,Alienware,0,0,GB,64.0,3.7,2000.0
63,"Velztorm Aciex 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, RTX 3080 10GB, 64GB DDR5 4800MHz RAM, 2TB PCIe SSD+3TB HDD, 360 mm AIO, 1000W PSU, WiFi6, BT 5.2, Win10P)",0.0,0,6448.0,Intel Core i9,2 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,2000.0
64,"Velztorm Pilum CTO Gaming Desktop PC Liquid-Cooled (AMD Ryzen 7-3700X 8-Core, 128GB DDR4, 8TB PCIe SSD + 6TB HDD (3.5), AMD Radeon 6600XT 8GB, 120mm AIO, RGB Fans, 750W PSU WiFi-N, Win10P)",0.0,0,6430.0,Ryzen 7,8 TB,128 GB,3.60 GHz,Velztorm,0,1,GB,128.0,3.6,8000.0
65,"Velztorm White Ferrux CTO Gaming Desktop Liquid-Cooled (AMD Ryzen 9-5900X 12-Core, GeForce GTX 1050 Ti 4GB, 128GB DDR4, 8TB PCIe SSD, RGB Fans, 750W PSU, Wi-Fi 4, Win 10 Pro)",0.0,0,6398.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,1,GB,128.0,3.7,8000.0
66,"Velztorm Aciex 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, RTX 3080 10GB, 64GB DDR5 4800MHz RAM, 2TB PCIe SSD+3TB HDD, 360 mm AIO, 1000W PSU, WiFi6, BT 5.2, Win10H)",0.0,0,6328.0,Intel Core i9,2 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,2000.0
67,"Velztorm Nix Custom Built Gaming Desktop PC Snow White (AMD Ryzen 5 5600X 6-Core, 64GB RAM, 4TB PCIe SSD, Radeon RX 6900 XT, 1xUSB 3.2, 3xUSB 3.0, 1xHDMI, Win 10 Home)",0.0,0,6318.0,AMD R Series,4 TB,64 GB,3.70 GHz,Velztorm,0,0,GB,64.0,3.7,4000.0
68,Adamant Custom 16-Core Modelling Rendering Workstation Desktop Computer AMD Ryzen 9 5950X 3.4GHz X570 Rog Strix 128Gb DDR4 1TB NVMe PCIe 4.0 SSD 8TB HDD 1000W Toughpower PSU Geforce RTX 3090,0.0,0,6299.99,AMD R Series,8 TB,128 GB,3.40 GHz,Adamant,0,0,GB,128.0,3.4,8000.0
69,"MSI Aegis RS 12TD-260 Gaming & Entertainment Desktop PC (Intel i7-12700K 12-Core, 64GB DDR5 4800MHz RAM, 8TB PCIe SSD, GeForce RTX 3070, WiFi, Win 11 Pro) with MS 365 Personal, Hub",0.0,0,6299.0,Intel Core i7,8 TB,64 GB,3.60 GHz,MSI,0,0,GB,64.0,3.6,8000.0
70,"Velztorm Partix (Black Gladio) CTO Gaming Desktop PC (Liquid Cooled AMD Ryzen 7-5800X 8-Core, 128GB DDR4, 2TB PCIe SSD + 6TB HDD (3.5), GeForce RTX 3080 10GB, 10GB, AC WiFi, 750W PSU, RGB Light, W10P)",0.0,0,6298.0,Ryzen 7,2 TB,128 GB,3.80 GHz,Velztorm,0,1,GB,128.0,3.8,2000.0
71,"MSI Aegis RS 12TD-260 Gaming & Entertainment Desktop PC (Intel i7-12700K 12-Core, 64GB DDR5 4800MHz RAM, 8TB PCIe SSD, GeForce RTX 3070, WiFi, Win 10 Pro) with MS 365 Personal, Hub",0.0,0,6279.0,Intel Core i7,8 TB,64 GB,3.60 GHz,MSI,0,0,GB,64.0,3.6,8000.0
